IMDB_title_ID, Original_title                                                      , Release_year, Genre                          , Duration, Country     , Content_Rating, Director                         , Income      , Votes    , Score
tt0078748    , Alien                                                               ,             , "Horror, Sci-Fi"               ,    117.0, UK          , R             , Ridley Scott                     ,  108110316.0,  768874.0,   8.2
tt4154796    , Avengers: Endgame                                                   ,         2019, "Action, Adventure, Drama"     ,    181.0, USA         ,               , "Anthony Russo, Joe Russo"       , 2797800564.0,  754786.0,   8.2
tt0078788    , Apocalypse Now                                                      ,             , "Drama, Mystery, War"          ,    147.0, USA         , R             , Francis Ford Coppola             ,   91968688.0,  591251.0,   8.2
tt0364569    , Oldeuboi                                                            ,         2005, "Action, Drama, Mystery"       ,    120.0, South Korea , R             , Chan-wook Park                   ,   15002116.0,  501082.0,   8.1
tt0057012    , Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,             , Comedy                         ,     95.0, UK          , PG            , Stanley Kubrick                  ,    9443876.0,  441115.0,   8.1
tt0047396    , Rear Window                                                         ,             , "Mystery, Thriller"            ,    112.0, USA         ,               , Alfred Hitchcock                 ,   37032034.0,  432390.0,   8.1
tt2380307    , Coco                                                                ,         2017, "Animation, Adventure, Family" ,    105.0, USA         ,               , "Lee Unkrich, Adrian Molina"     ,  807083670.0,  352455.0,   8.1
tt0405094    , Das Leben der Anderen                                               ,         2007, "Drama, Mystery, Thriller"     ,    137.0, Germany     , R             , Florian Henckel von Donnersmarck ,   77356942.0,  349642.0,   8.1
tt4633694    , Spider-Man: Into the Spider-Verse                                   ,         2018, "Animation, Action, Adventure" ,    117.0, USA         ,               , "Bob Persichetti, Peter Ramsey"  ,  375540831.0,  335892.0,   8.1
tt1187043    , 3 Idiots                                                            ,         2009, "Comedy, Drama"                ,    170.0, India       ,               , Rajkumar Hirani                  ,   60262836.0,  332217.0,   8.1
tt0119698    , Mononoke-hime                                                       ,         2000, "Animation, Adventure, Fantasy",    134.0, Japan       , PG-13         , Hayao Miyazaki                   ,  169785629.0,  331045.0,   8.0
tt0087843    , Once Upon a Time in America                                         ,             , "Crime, Drama"                 ,    229.0, USA         , R             , Sergio Leone                     ,    5472914.0,  302317.0,   8.0
tt0032553    , The Great Dictator                                                  ,             , "Comedy, Drama, War"           ,    125.0, USA         ,               , Charles Chaplin                  ,     969879.0,  197381.0,   8.0
tt0043014    , Sunset Blvd.                                                        ,             , "Drama, Film-Noir"             ,    110.0, USA         ,               , Billy Wilder                     ,     299645.0,  195789.0,   8.0
tt0361748    , Inglourious Basterds                                                ,         2009, "Adventure, Drama, War"        ,    153.0, Germany     , R             , Quentin Tarantino                ,  321455689.0, 1229958.0,   8.0
tt0169547    , American Beauty                                                     ,         2000, Drama                          ,    122.0, USA         , R             , Sam Mendes                       ,  356296601.0, 1049009.0,   8.0
tt0112573    , Braveheart                                                          ,         1995, "Biography, Drama, History"    ,    178.0, USA         , R             , Mel Gibson                       ,  213216216.0,  941683.0,   7.9
tt0086190    , Star Wars: Episode VI - Return of the Jedi                          ,             , "Action, Adventure, Fantasy"   ,    131.0, USA         , PG            , Richard Marquand                 ,  475347111.0,  928036.0,   7.9
tt0105236    , Reservoir Dogs                                                      ,         1992, "Crime, Drama, Thriller"       ,     99.0, USA         , R             , Quentin Tarantino                ,    2889963.0,  896551.0,   7.9
tt0338013    , Eternal Sunshine of the Spotless Mind                               ,         2004, "Drama, Romance, Sci-Fi"       ,    108.0, USA         , R             , Michel Gondry                    ,   74036715.0,  889875.0,   7.9
tt0114709    , Toy Story                                                           ,         1996, "Animation, Adventure, Comedy" ,     81.0, USA         , G             , John Lasseter                    ,  404265438.0,  864461.0,   7.9
tt0119217    , Good Will Hunting                                                   ,         1998, "Drama, Romance"               ,    126.0, USA         , R             , Gus Van Sant                     ,  225933435.0,  837379.0,   7.8
tt0208092    , Snatch                                                              ,         2001, "Comedy, Crime"                ,    104.0, UK          , R             , Guy Ritchie                      ,   83557872.0,  766589.0,   7.8
tt0180093    , Requiem for a Dream                                                 ,         2000, Drama                          ,    102.0, USA         , R             , Darren Aronofsky                 ,    7390108.0,  748291.0,   7.8
tt0066921    , A Clockwork Orange                                                  ,             , "Crime, Drama, Sci-Fi"         ,    136.0, UK          ,               , Stanley Kubrick                  ,   26903440.0,  740301.0,   7.8
tt0435761    , Toy Story 3                                                         ,         2010, "Animation, Adventure, Comedy" ,    103.0, USA         , G             , Lee Unkrich                      , 1066969703.0,  739717.0,   7.8
tt0086250    , Scarface                                                            ,             , "Crime, Drama"                 ,    170.0, USA         , R             , Brian De Palma                   ,   66023585.0,  721343.0,   7.8
tt0075314    , Taxi Driver                                                         ,             , "Crime, Drama"                 ,    114.0, USA         , R             , Martin Scorsese                  ,   28441292.0,  703264.0,   7.7
tt0211915    , Le fabuleux destin d'Amélie Poulain                                 ,         2002, "Comedy, Romance"              ,    122.0, France      , R             , Jean-Pierre Jeunet               ,  173924742.0,  690480.0,   7.7
tt0093058    , Full Metal Jacket                                                   ,             , "Drama, War"                   ,    116.0, UK          ,               , Stanley Kubrick                  ,   46357676.0,  658175.0,   7.7
tt0090605    , Aliens                                                              ,             , "Action, Adventure, Sci-Fi"    ,    137.0, USA         , R             , James Cameron                    ,  131384634.0,  639500.0,   7.7
tt0062622    , 2001: A Space Odyssey                                               ,             , "Adventure, Sci-Fi"            ,    149.0, UK          , G             , Stanley Kubrick                  ,   68989547.0,  587866.0,   7.6
tt0033467    , Citizen Kane                                                        ,             , "Drama, Mystery"               ,    119.0, USA         ,               , Orson Welles                     ,    1594107.0,  389322.0,   7.6
tt8579674    , 1917                                                                ,         2020, "Drama, War"                   ,    119.0, USA         ,               , Sam Mendes                       ,  384857224.0,  362897.0,   7.6
tt0086879    , Amadeus                                                             ,             , "Biography, Drama, History"    ,    160.0, USA         , R             , Milos Forman                     ,   52066791.0,  361028.0,   7.6
tt0052357    , Vertigo                                                             ,             , "Mystery, Romance, Thriller"   ,    128.0, USA         ,               , Alfred Hitchcock                 ,    7796389.0,  352786.0,   7.5
tt0053125    , North by Northwest                                                  ,             , "Adventure, Mystery, Thriller" ,    136.0, USA         ,               , Alfred Hitchcock                 ,      73446.0,  291628.0,   7.5
tt2106476    , Jagten                                                              ,         2012, Drama                          ,    115.0, Denmark     , R             , Thomas Vinterberg                ,   15843274.0,  269616.0,   7.5
tt0056172    , Lawrence of Arabia                                                  ,             , "Adventure, Biography, Drama"  ,    228.0, UK          , PG            , David Lean                       ,   45710874.0,  261504.0,   7.5
tt0070735    , The Sting                                                           ,             , "Comedy, Crime, Drama"         ,    129.0, USA         , PG            , George Roy Hill                  ,  156000000.0,  236285.0,   7.5
tt0082096    , Das Boot                                                            ,             , "Adventure, Drama, Thriller"   ,    149.0, West Germany, R             , Wolfgang Petersen                ,   11487676.0,  226427.0,   7.5
tt0059578    , Per qualche dollaro in più                                          ,             , Western                        ,    132.0, Italy       ,               , Sergio Leone                     ,   15000000.0,  226039.0,   7.4
tt1832382    , Jodaeiye Nader az Simin                                             ,         2011, Drama                          ,    123.0, Iran        , PG-13         , Asghar Farhadi                   ,   22926076.0,  214165.0,   7.4
tt0045152    , Singin' in the Rain                                                 ,             , "Comedy, Musical, Romance"     ,    103.0, USA         ,               , Stanley Donen                    ,    1864182.0,  213152.0,   7.4
